Name,Description,Latitude,Longitude,Type
Parking #28236,"Type: Parking, Accuracy: 15.0175m",25.2706386,51.5436947,Parking
Parking #28237,"Type: Parking, Accuracy: 2.15665m",25.3154475,51.4749217,Parking
Parking #28238,"Type: Parking, Accuracy: 2.2411m",25.16560675,51.5674906,Parking
Parking #28239,"Type: Parking, Accuracy: 4.094m",25.2381975,51.41910165,Parking
Parking #28240,"Type: Parking, Accuracy: 3.001m",25.3609067,51.49669695,Parking
Parking #28241,"Type: Parking, Accuracy: 2.431m",25.2286633,51.4637033,Parking
Parking #28242,"Type: Parking, Accuracy: 6.43m",25.27617825,51.4921452,Parking
Parking #28243,"Type: Parking, Accuracy: 1.156m",25.1493,51.588095,Parking
Parking #28244,"Type: Parking, Accuracy: 2.82m",25.2346783,51.3814283,Parking
Parking #28245,"Type: Parking, Accuracy: 3.273m",25.2326138,51.43779755,Parking
Parking #28246,"Type: Parking, Accuracy: 1.205m",25.451265,51.4451833,Parking
Parking #28247,"Type: Parking, Accuracy: 1.523m",25.1488483,51.53128,Parking
Parking #28248,"Type: Parking, Accuracy: 1.084m",25.2532217,51.5091983,Parking
Parking #28249,"Type: Parking, Accuracy: 3.79m",25.2450656,51.4853657,Parking
Parking #28250,"Type: Parking, Accuracy: 3.79m",25.1920281,51.6024135,Parking
Parking #28251,"Type: Parking, Accuracy: 4.784m",25.213785,51.4574567,Parking
Parking #28252,"Type: Parking, Accuracy: 3.8944m",25.2782675,51.443849,Parking
Parking #28253,"Type: Parking, Accuracy: 1.359m",25.3136099,51.5188733,Parking
Parking #28254,"Type: Parking, Accuracy: 1.461m",25.18141095,51.3581817,Parking
Parking #28255,"Type: Parking, Accuracy: 2.508m",25.3942283,51.5129367,Parking
Parking #28256,"Type: Parking, Accuracy: 3.229m",25.353735,51.4963033,Parking
Parking #28257,"Type: Parking, Accuracy: 5.331m",25.2890754,51.4165306,Parking
Parking #28258,"Type: Parking, Accuracy: 9.6802m",25.3670539,51.4498122,Parking
Parking #28259,"Type: Parking, Accuracy: 4.516m",25.214535,51.35209675,Parking
Parking #28260,"Type: Parking, Accuracy: 5.7062m",25.157874,51.5252184,Parking
Parking #28261,"Type: Parking, Accuracy: 3.79m",25.2275269,51.4664547,Parking
Parking #28262,"Type: Parking, Accuracy: 6.84905m",25.2869201,51.51892745,Parking
Parking #28263,"Type: Parking, Accuracy: 8.726m",25.3905805,51.4362305,Parking
Parking #28264,"Type: Parking, Accuracy: 3.79m",25.215636,51.4657741,Parking
Parking #28265,"Type: Parking, Accuracy: 2.017m",25.320665,51.5320215,Parking
Parking #28266,"Type: Parking, Accuracy: 8.324m",25.39753445,51.4575318,Parking
Parking #28267,"Type: Parking, Accuracy: 3.79m",25.2150356,51.3533165,Parking
Parking #28268,"Type: Parking, Accuracy: 3.79m",25.2267934,51.4917247,Parking
Parking #28269,"Type: Parking, Accuracy: 5.52075m",25.2828085,51.439482,Parking
Parking #28270,"Type: Parking, Accuracy: 8.08m",25.1701453,51.5695758,Parking
Parking #28271,"Type: Parking, Accuracy: 1.48m",25.240325,51.47071,Parking
Parking #28272,"Type: Parking, Accuracy: 10.1069m",25.2446714,51.5134729,Parking
Parking #28273,"Type: Parking, Accuracy: 3.79m",25.2592878,51.5013268,Parking
Parking #28274,"Type: Parking, Accuracy: 9.31430769230769m",25.2729985,51.5248001,Parking
Parking #28275,"Type: Parking, Accuracy: 1.344m",25.3477383,51.49636,Parking
Parking #28276,"Type: Parking, Accuracy: 7.31m",25.37863395,51.53976595,Parking
Parking #28277,"Type: Parking, Accuracy: 1.2153m",25.2062533,51.47399,Parking
Parking #28278,"Type: Parking, Accuracy: 2.22152631578947m",25.1451067,51.606685,Parking
Parking #28279,"Type: Parking, Accuracy: 3.79m",25.26661435,51.47513895,Parking
Parking #28280,"Type: Parking, Accuracy: 1.40452631578947m",25.1871133,51.6120683,Parking
Parking #28281,"Type: Parking, Accuracy: 1.89805m",25.3889333,51.4819217,Parking
Parking #28282,"Type: Parking, Accuracy: 3.79m",25.26960755,51.42108305,Parking
Parking #28283,"Type: Parking, Accuracy: 2.497m",25.2691633,51.419495,Parking
Parking #28284,"Type: Parking, Accuracy: 1.499m",25.260375,51.51754,Parking
Parking #28285,"Type: Parking, Accuracy: 3.79m",25.3401138,51.4274824,Parking
Parking #28286,"Type: Parking, Accuracy: 3.96m",25.1853917,51.3773133,Parking
Parking #28287,"Type: Parking, Accuracy: 3.79m",25.2994325,51.4195403,Parking
Parking #28288,"Type: Parking, Accuracy: 5.605m",25.2294931,51.5412281,Parking
Parking #28289,"Type: Parking, Accuracy: 3.79m",25.2567031,51.5118337,Parking
Parking #28290,"Type: Parking, Accuracy: 4.274m",25.1755083,51.4215099,Parking
Parking #28291,"Type: Parking, Accuracy: 1.914m",25.1797833,51.5773517,Parking
Parking #28292,"Type: Parking, Accuracy: 1.699m",25.47286155,51.4156217,Parking
Parking #28293,"Type: Parking, Accuracy: 1.092m",25.5551133,51.4353283,Parking
Parking #28294,"Type: Parking, Accuracy: 1.872m",25.3639467,51.4779917,Parking
Parking #28295,"Type: Parking, Accuracy: 2.038m",25.3542367,51.443505,Parking
Parking #28296,"Type: Parking, Accuracy: 1.766m",25.2399167,51.536335,Parking
Parking #28297,"Type: Parking, Accuracy: 5.081m",25.3645222,51.4313371,Parking
Parking #28298,"Type: Parking, Accuracy: 6.432m",25.4251872,51.5066578,Parking
Parking #28299,"Type: Parking, Accuracy: 8.025m",25.2976067,51.4925891,Parking
Parking #28300,"Type: Parking, Accuracy: 3.141m",25.3555167,51.4801823,Parking
Parking #28301,"Type: Parking, Accuracy: 2.064m",25.24370105,51.49561505,Parking
Parking #28302,"Type: Parking, Accuracy: 3.791m",25.2762934,51.5332084,Parking
Parking #28303,"Type: Parking, Accuracy: 4.089m",25.2597833,51.4245317,Parking
Parking #28304,"Type: Parking, Accuracy: 4.71095m",25.4355248,51.4388111,Parking
Parking #28305,"Type: Parking, Accuracy: 4.34m",25.2669711,51.407556,Parking
Parking #28306,"Type: Parking, Accuracy: 6.066m",25.3754733,51.4268417,Parking
Parking #28307,"Type: Parking, Accuracy: 4.372m",25.2899817,51.4093983,Parking
Parking #28308,"Type: Parking, Accuracy: 2.906m",25.2390933,51.56655,Parking
Parking #28311,"Type: Parking, Accuracy: 2.05775m",25.211455,51.45109,Parking
Parking #28312,"Type: Parking, Accuracy: 4.8457m",25.181385,51.3841309,Parking
Parking #28313,"Type: Parking, Accuracy: 2.8379m",25.25107,51.3629733,Parking
Parking #28314,"Type: Parking, Accuracy: 5.613m",25.30331,51.4799367,Parking
Parking #28315,"Type: Parking, Accuracy: 6.19465m",25.2505249,51.4294623,Parking
Parking #28316,"Type: Parking, Accuracy: 1.35305m",25.2339833,51.3776667,Parking
Parking #28317,"Type: Parking, Accuracy: 2.6671m",25.2451167,51.407775,Parking
Parking #28318,"Type: Parking, Accuracy: 3.00005m",25.2441789,51.3751258,Parking
Parking #28319,"Type: Parking, Accuracy: 2.764m",25.18548,51.37733,Parking
Parking #28320,"Type: Parking, Accuracy: 3.154m",25.1820633,51.3753017,Parking
Parking #28321,"Type: Parking, Accuracy: 1.845m",25.3692733,51.5523783,Parking
Parking #28322,"Type: Parking, Accuracy: 0.996m",25.3436067,51.42909,Parking
Parking #28323,"Type: Parking, Accuracy: 2.306m",25.21016725,51.5755233,Parking
Parking #28324,"Type: Parking, Accuracy: 0.902m",25.4413567,51.45696,Parking
Parking #28325,"Type: Parking, Accuracy: 3.172m",25.2063067,51.47409,Parking
Parking #28326,"Type: Parking, Accuracy: 2.9m",25.2104783,51.4706483,Parking
Parking #28327,"Type: Parking, Accuracy: 2.005m",25.210385,51.4664567,Parking
Parking #28328,"Type: Parking, Accuracy: 3.79m",25.251363,51.4640079,Parking
Parking #28329,"Type: Parking, Accuracy: 1.038m",25.1576833,51.5183317,Parking
Parking #28330,"Type: Parking, Accuracy: 3.811m",25.44394715,51.4619641,Parking
Parking #28331,"Type: Parking, Accuracy: 3.79m",25.2530329,51.4911372,Parking
Parking #28332,"Type: Parking, Accuracy: 3.79m",25.2370072,51.55691565,Parking
Parking #28333,"Type: Parking, Accuracy: 6.132m",25.2022134,51.5548984,Parking
Parking #28334,"Type: Parking, Accuracy: 3.79m",25.2253317,51.5447636,Parking
Parking #28335,"Type: Parking, Accuracy: 3.79m",25.245756,51.486665,Parking
Parking #28336,"Type: Parking, Accuracy: 1.565m",25.2849817,51.4196848,Parking
Parking #28337,"Type: Parking, Accuracy: 3.973m",25.244485,51.42489,Parking
Parking #28338,"Type: Parking, Accuracy: 3.79m",25.25157315,51.3893244,Parking
Parking #28339,"Type: Parking, Accuracy: 1.857m",25.3332483,51.4719117,Parking
Parking #28340,"Type: Parking, Accuracy: 1.238m",25.261495,51.4246217,Parking
Parking #28341,"Type: Parking, Accuracy: 2.975m",25.2872883,51.42595,Parking
Parking #28342,"Type: Parking, Accuracy: 3.563m",25.2780133,51.4118367,Parking
Parking #28343,"Type: Parking, Accuracy: 1.501m",25.2680383,51.4239983,Parking
Parking #28344,"Type: Parking, Accuracy: 7.557m",25.3275998,51.35280975,Parking
Parking #28345,"Type: Parking, Accuracy: 6.709m",25.394261,51.431469,Parking
Parking #28346,"Type: Parking, Accuracy: 8.649m",25.171628,51.53707725,Parking
Parking #28347,"Type: Parking, Accuracy: 1.78m",25.235095,51.3694283,Parking
Parking #28348,"Type: Parking, Accuracy: 4.207m",25.2390067,51.3995933,Parking
Parking #28349,"Type: Parking, Accuracy: 4.835m",25.2394908,51.5435794,Parking
Parking #28350,"Type: Parking, Accuracy: 3.79m",25.28272265,51.5489295,Parking
Parking #28351,"Type: Parking, Accuracy: 4.385m",25.269395,51.450985,Parking
Parking #28352,"Type: Parking, Accuracy: 11.7857m",25.3274112,51.5305295,Parking
Parking #28353,"Type: Parking, Accuracy: 3.79m",25.3561883,51.5173331,Parking
Parking #28354,"Type: Parking, Accuracy: 3.79765m",25.2738934,51.5354366,Parking
Parking #28355,"Type: Parking, Accuracy: 1.5239m",25.4499583,51.4551983,Parking
